516.25,95.5,0.8,1.98,0
823.44,123.5,1.15,1.32,0
487.75,184.56,0.03,2.04,0
834.81,217,3.45,2.13,0
748.25,75.38,3.6,0.94,0
798.38,254.25,0.51,0.88,0
667.44,129.88,2.89,1.24,0
759,196,3.1,3,0
991.06,255.88,4.84,4.11,0
926.19,234.25,2.04,3.25,0
893.5,114.75,2.93,3.48,0
904.25,230.69,1.13,3.25,0
573.13,300.94,3.74,3.43,0
465.69,84.75,0.89,4.03,0
939.5,106.13,2.57,3.45,0
524.13,109.5,2.09,3.57,0
461,57.13,4.48,4.11,0
675.25,59.38,5.41,3.95,0
804,82.38,1.53,4.11,0
1014.19,59.69,0.43,4.05,0
766.19,119.19,3.36,4.11,0
685.75,299.44,4,4,0
894.56,97.13,3.83,3.83,0
637.63,273.63,4.49,4.11,0
798.19,161.38,0.38,4.11,0
722.25,284,2.12,3.72,0
546.69,156.56,3.23,3.87,0
750.63,127.94,1.84,3.73,0
821.69,176.69,0.17,4.11,0
953.5,122.06,0.66,3.49,0
849.56,100,3.75,4.11,0
948.5,164.69,4,3.95,0
588.56,231,0.31,4.02,0
873.38,309.44,5.28,4.11,0
938.06,271.06,0.73,4.11,0
999.88,362.13,4.62,4.1,0
1029.88,108.88,2.78,4.11,0
872.25,140.13,1.86,4.11,0
584.06,361.81,10.62,4.01,0
557.94,118.25,39.83,4.11,0
575.25,157.13,74.99,4.11,0
667.75,157.13,152.23,4.07,0
575.13,102.75,22.78,3.84,0
562.75,144.31,22.69,3.23,0
553.81,142.5,92.97,4.11,0
569.75,173.75,108.07,3.87,0
555.63,169.69,1.78,3.36,0
610.81,110.31,12.5,3.76,0
881.63,170,21.25,4.06,0
924.94,152.81,77.98,4.11,0
924.94,121.38,10,3.04,0
924.94,80.63,22.65,0.28,0
577.75,124.69,23.98,0.57,0
607,130.56,17.11,0.43,0
547,57.5,47.8,0.31,0
590.06,53.94,4.08,0.25,0
798,75.75,14.08,0.36,0
545.69,407.69,20.4,0.78,0
607.19,408.06,29.58,0.45,0
564,470.56,52.31,1.01,0
503,413.13,58.52,0.76,0
615.13,438.38,45.46,0.89,0
607.69,427.88,24.63,0.27,0
572.06,60.75,2.82,2.17,0
621.38,65.69,4.33,0.88,0
550.81,68.94,1.22,0.88,0
576.5,73.25,8.51,0.72,0
631.38,59.31,6.43,0.96,0
667.06,74.44,0.57,0.54,0
588.69,72.19,10.29,0.64,0
563.5,68.13,1.5,0.26,0
584.81,66.81,0.32,0.37,0
589.94,59.19,10.3,0.36,0
545.25,61.19,5.46,0.32,0
621.38,59.56,3.27,0.44,0
548.19,78.69,0.49,0.97,0
577.88,60.44,7.25,0.32,0
554.88,84,2.21,0.26,0
554.38,97.25,12.32,0.33,0
597,69.19,0.62,0.44,0
553.94,71.44,4.58,0.37,0
563.63,72.69,13.38,0.7,0
594.63,71.94,0.62,0.37,0
570.63,101.69,11,0.59,0
546.44,84.44,6.33,0.63,0
558.63,76.06,12.35,0.31,0
584.88,77.88,3.42,0.36,0
543.5,74.5,11.31,0.7,0
545.5,69.94,7.31,0.31,0
540.5,65.56,2.62,0.86,0
589.38,81.63,4.15,0.45,0
509.13,71.06,1.97,0.28,0
570.06,95.63,5.78,0.28,0
505.06,88.75,13.39,1.61,0
541.69,109.63,1.27,0.67,0
589.63,85.63,3.01,0.33,0
551.13,63.94,1.27,1.75,0
607.81,71.38,2.45,4.07,0
603.56,71.88,0.13,4.07,0
553.25,74.81,3.2,4.07,0
558,61.63,4.12,3.99,0
586.81,77.94,2.34,4.07,0
506,73.63,4.5,4.07,0
654.88,64.88,3.83,3.94,0
592.19,62.44,7.53,3.93,0
555.25,24.56,3.08,3.93,0
533.19,22.69,3.68,3.93,0
610.13,24.06,0.74,3.93,0
529.88,19.06,2.93,4.07,0
607.13,23.94,1.15,4.07,0
563.31,21.56,0.46,1.7,0
559.69,25.69,4.86,2.08,0
503.13,26.94,1.01,4.07,0
513.5,26.94,6.29,3.95,0
530.44,38.25,3.38,4.07,0
532.88,21.5,4.59,3.01,0
524.25,50.13,1.7,4.07,0
418,26.06,6.59,2.91,0
527.06,21.38,6.89,2.25,0
451.69,35,19.55,4.07,0
451.88,18,2.18,3.74,0
617.38,26.69,2.45,2.3,0
520.81,49.5,6.72,4.07,0
541.5,29.19,13.39,2.42,0
577,21.06,7.19,4.07,0
487.44,28.13,2.98,4.07,0
590.94,20.56,1.34,4.07,0
592.94,30.13,6.28,4.07,0
497.63,30.31,3.42,4.07,0
517.88,29,1.48,4.07,0
471.5,28.81,0.43,4.07,0
343.25,26.44,0.71,4.07,0
385.5,42.81,3.26,3.6,0
417.88,27.5,1.94,3.89,0
463,30.63,1.01,4.07,0
363.13,23.56,1.11,1.67,0
421.13,30.25,3.01,3.86,0
393.5,26.5,2.99,4.02,0
579.06,29.56,1.85,1.99,0
563.44,24.75,1.68,3.84,0
367.5,24.94,2.27,4.07,0
427.13,23.75,1.48,4.07,0
875.19,22.75,3.69,4.07,0
488.69,21.69,7.46,4.07,0
508.63,22.19,8.48,4.07,0
543.06,30.81,1.51,4.07,0
552.44,34.63,0.1,4.07,0
561.56,26.94,4.65,4.07,0
580.63,30.69,12.95,4.07,0
409.19,31.25,14.08,4.07,0
774.25,23.56,1.33,4.07,0
492,34.25,3.78,3.78,0
528.19,31.88,6.04,3.78,0
560.06,24.69,1.99,4.07,0
666.13,29.63,1.2,4.07,0
463.81,31.81,2.62,4.07,0
363.44,21.88,0.95,4.07,0
515.75,39.44,2.71,4.07,0
444.31,71.06,12.91,2.66,0
323.13,94.44,10.14,2.66,0
320.5,72.56,9.01,3.45,0
297.19,75.06,13.7,1.8,0
488.81,76.75,3.79,4.07,0
382.81,90.38,6.81,4.07,0
382.5,78.31,15.28,4.07,0
450,77.38,5.02,4.06,0
345.75,92.75,15.11,2.54,0
315.5,91.63,10.08,2.39,0
389.44,77.19,12.14,3.92,0
421.63,79.88,6.52,1.8,0
408.25,96.88,1.65,2.44,0
400.69,94.44,2.45,4.04,0
290.81,82.38,6.65,3.42,0
308.75,97.75,12.18,2.75,0
325.69,90.06,7.09,1.71,0
297.56,94.88,12.26,1.88,0
